split,participant_id,canonical_task_id,camera_view,annotation_source,archive,media_name,source_frame_count_cvat,decoded_frame_count,fps,width,height,regular_sample_interval,sampled_frames,labelled_frames,empty_frames,boxes,clipped_boxes,skipped_boxes,event_tags
train,P24,P24_LL,LL,defibliration2,defibliration2.zip,P24_LL.MP4,408,408,25.0,1920,1080,5,106,106,0,165,0,0,6
train,P24,P24_LS,LS,defibliration2,defibliration2.zip,P24_LS.MOV,509,509,30.0,1920,1080,6,128,128,0,510,0,0,6
train,P24,P24_T,T,defibliration2,defibliration2.zip,P24_T.MOV,353,353,30.0,1080,1920,6,97,97,0,284,0,0,6
test,P25,P25_LL,LL,defibliration2,defibliration2.zip,P25_LL.MP4,463,463,25.0,1920,1080,5,119,119,0,204,0,0,5
test,P25,P25_LS,LS,defibliration2,defibliration2.zip,P25_LS.MOV,566,566,30.0,1920,1080,6,105,105,0,345,0,0,0
test,P25,P25_T,T,defibliration2,defibliration2.zip,P25_T.MOV,515,515,30.0,1080,1920,6,131,131,0,457,0,0,8
train,P26,P26_LL,LL,defibliration2,defibliration2.zip,P26_LL.MP4,482,482,25.0,1920,1080,5,124,124,0,208,0,0,7
train,P26,P26_LS,LS,defibliration2,defibliration2.zip,P26_LS.MOV,600,600,30.0,1920,1080,6,142,142,0,570,0,0,6
train,P26,P26_T,T,defibliration2,defibliration2.zip,P26_T.MOV,555,555,30.0,1080,1920,6,138,138,0,484,0,0,6
train,P27,P27_LL,LL,defibliration2,defibliration2.zip,P27_LL.MP4,489,489,25.0,1920,1080,5,125,125,0,211,0,0,5
train,P27,P27_LS,LS,defibliration2,defibliration2.zip,P27_LS.MOV,528,528,30.0,1920,1080,6,131,131,0,522,0,0,7
train,P27,P27_T,T,defibliration2,defibliration2.zip,P27_T.MOV,492,492,30.0,1080,1920,6,125,125,0,425,0,0,6
train,P28,P28_LL,LL,defibliration2,defibliration2.zip,P28_LL.MP4,536,536,25.0,1920,1080,5,136,136,0,245,0,0,6
train,P28,P28_LS,LS,defibliration2,defibliration2.zip,P28_LS.MOV,669,669,30.0,1920,1080,6,164,164,0,712,0,0,7
train,P28,P28_T,T,defibliration2,defibliration2.zip,P28_T.MOV,646,646,30.0,1080,1920,6,148,148,0,480,0,0,6
train,P29,P29_LL,LL,defibliration2,defibliration2.zip,P29_LL.MP4,464,464,25.0,1920,1080,5,118,118,0,236,0,0,5
train,P29,P29_LS,LS,defibliration2,defibliration2.zip,P29_LS.MOV,589,589,30.0,1920,1080,6,146,146,0,642,0,0,7
train,P29,P29_T,T,defibliration2,defibliration2.zip,P29_T.MOV,511,511,30.0,1080,1920,6,131,131,0,447,0,0,6
train,P30,P30_LL,LL,defibliration2,defibliration2.zip,P30_LL.MP4,404,404,25.0,1920,1080,5,109,103,6,185,0,0,5
train,P30,P30_LS,LS,defibliration2,defibliration2.zip,P30_LS.MOV,532,532,30.0,1920,1080,6,131,131,0,524,0,0,5
train,P30,P30_T,T,defibliration2,defibliration2.zip,P30_T.MOV,496,496,30.0,1080,1920,6,123,123,0,462,11,0,6
val,P01,P01_LL,LL,kartheepan,kartheepan/P01_LL.zip,P01_LL.mp4,473,473,24.91,1920,1080,5,116,116,0,189,2,0,4
val,P01,P01_LS,LS,kartheepan,kartheepan/P01_LS.zip,P01_LS.MOV,610,610,30.0,1920,1080,6,153,153,0,609,16,0,8
val,P01,P01_T,T,kartheepan,kartheepan/P01_T.zip,P01_T.MOV,617,617,29.98,1920,1080,6,154,154,0,740,0,0,8
train,P03,P03_LL,LL,kartheepan,kartheepan/P03_LL.zip,P03_LL.MP4,483,483,25.0,1920,1080,5,118,118,0,208,4,0,4
train,P03,P03_LS,LS,kartheepan,kartheepan/P03_LS.zip,P03_LS.MOV,636,636,30.0,1920,1080,6,153,153,0,619,85,0,8
train,P03,P03_T,T,kartheepan,kartheepan/P03_T.zip,P03_T.MOV,537,537,30.0,1920,1080,6,146,146,0,705,0,0,8
train,P04,P04_LL,LL,kartheepan,kartheepan/P04_LL.zip,P04_LL.MP4,486,486,25.0,1920,1080,5,127,127,0,244,10,0,5
train,P04,P04_LS,LS,kartheepan,kartheepan/P04_LS.zip,P04_LS.MOV,541,541,30.0,1920,1080,6,130,130,0,514,18,0,8
train,P04,P04_T,T,kartheepan,kartheepan/P04_T.zip,P04_T.MOV,513,513,30.0,1920,1080,6,135,135,0,615,0,0,7
test,P05,P05_LL,LL,kartheepan,kartheepan/P05_LL.zip,P05_LL.MP4,564,564,25.0,1920,1080,5,134,134,0,239,11,0,3
test,P05,P05_LS,LS,kartheepan,kartheepan/P05_LS.zip,P05_LS.MOV,694,694,30.0,1920,1080,6,169,169,0,687,24,0,8
test,P05,P05_T,T,kartheepan,kartheepan/P05_T.zip,P05_T.MOV,661,661,30.0,1920,1080,6,158,158,0,607,17,0,7
train,P06,P06_LL,LL,kartheepan,kartheepan/P06_LL.zip,P06_LL.MP4,661,661,25.0,1920,1080,5,158,158,0,308,0,0,5
train,P06,P06_LS,LS,kartheepan,kartheepan/P06_LS.zip,P06_LS.MOV,803,803,30.0,1920,1080,6,185,185,0,839,0,0,8
train,P06,P06_T,T,kartheepan,kartheepan/P06_T.zip,P06_T.MOV,750,750,30.0,1920,1080,6,161,161,0,561,161,0,5
train,P07,P07_LL,LL,kartheepan,kartheepan/P07_LL.zip,P07_LL.MP4,589,589,25.0,1920,1080,5,140,140,0,244,5,0,5
train,P07,P07_LS,LS,kartheepan,kartheepan/P07_LS.zip,P07_LS.MOV,762,762,30.0,1920,1080,6,180,180,0,722,10,0,8
train,P07,P07_T,T,kartheepan,kartheepan/P07_T.zip,P07_T.MOV,716,716,30.0,1920,1080,6,174,174,0,710,175,0,8
train,P12,P12_LL,LL,kartheepan,kartheepan/P12_LL.zip,P12_LL.MP4,423,423,25.0,1920,1080,5,104,104,0,194,10,0,3
train,P12,P12_LS,LS,kartheepan,kartheepan/P12_LS.zip,P12_LS.MOV,515,515,30.0,1920,1080,6,137,137,0,571,149,0,8
train,P12,P12_T,T,kartheepan,kartheepan/P12_T.zip,P12_T.mov,492,492,30.0,1920,1080,6,121,121,0,470,50,0,6
train,P13,P13_LL,LL,kartheepan,kartheepan/P13_LL.zip,P13_LL.MP4,401,401,25.0,1920,1080,5,103,103,0,191,3,0,4
train,P13,P13_LS,LS,kartheepan,kartheepan/P13_LS.zip,P13_LS.MOV,504,504,30.0,1920,1080,6,127,127,0,516,127,0,8
train,P13,P13_T,T,kartheepan,kartheepan/P13_T.zip,P13_T.mov,510,510,30.0,1920,1080,6,124,124,0,442,118,1,7
train,P14,P14_LL,LL,kartheepan,kartheepan/P14_LL.zip,P14_LL.MP4,434,434,25.0,1920,1080,5,108,108,0,213,0,0,4
train,P14,P14_LS,LS,kartheepan,kartheepan/P14_LS.zip,P14_LS.MOV,565,565,30.01,1920,1080,6,140,140,0,577,140,0,8
train,P14,P14_T,T,kartheepan,kartheepan/P14_T.zip,P14_T.mov,529,529,30.0,1920,1080,6,126,126,0,456,77,0,7
test,P15,P15_LL,LL,kartheepan,kartheepan/P15_LL.zip,P15_LL.MP4,572,572,25.0,1920,1080,5,137,137,0,265,0,0,4
test,P15,P15_LS,LS,kartheepan,kartheepan/P15_LS.zip,P15_LS.MOV,709,709,30.0,1920,1080,6,156,156,0,636,156,0,7
test,P15,P15_T,T,kartheepan,kartheepan/P15_T.zip,P15_T.mov,678,678,30.0,1920,1080,6,153,153,0,529,55,0,6
train,P31,P31_LL,LL,kartheepan,kartheepan/P31_LL.zip,P31_LL.MP4,482,482,25.0,1920,1080,5,110,110,0,158,0,0,2
train,P31,P31_LS,LS,kartheepan,kartheepan/P31_LS.zip,P31_LS.mp4,622,622,30.01,1080,1920,6,143,143,0,564,4,0,6
train,P31,P31_T,T,kartheepan,kartheepan/P31_T.zip,P31_T.MOV,1073,1073,29.71,1920,1080,6,216,186,30,604,0,0,5
train,P32,P32_LL,LL,kartheepan,kartheepan/P32_LL.zip,P32_LL.MP4,414,414,25.0,1920,1080,5,96,96,0,141,0,0,3
train,P32,P32_LS,LS,kartheepan,kartheepan/P32_LS.zip,P32_LS.mp4,576,576,30.01,1080,1920,6,144,144,0,571,0,0,8
train,P32,P32_T,T,kartheepan,kartheepan/P32_T.zip,P32_T.MOV,531,531,29.98,1080,1920,6,128,128,0,398,6,0,6
train,P33,P33_LL,LL,kartheepan,kartheepan/P33_LL.zip,P33_LL.MP4,791,791,25.0,1920,1080,5,181,181,0,290,3,0,5
train,P33,P33_LS,LS,kartheepan,kartheepan/P33_LS.zip,P33_LS.mp4,965,965,30.01,1080,1920,6,199,199,0,712,4,0,5
train,P33,P33_T,T,kartheepan,kartheepan/P33_T.zip,P33_T.MOV,938,938,29.98,1920,1080,6,200,200,0,720,7,0,6
train,P37,P37_LL,LL,Kishonithan 37 to 41,Kishonithan 37 to 41.zip,P37_LL.MP4,564,564,25.0,1920,1080,5,141,141,0,271,0,0,6
train,P37,P37_LS,LS,Kishonithan 37 to 41,Kishonithan 37 to 41.zip,P37_LS.mp4,674,674,30.01,1080,1920,6,149,149,0,619,0,0,6
train,P37,P37_T,T,Kishonithan 37 to 41,Kishonithan 37 to 41.zip,P37_T.MOV,719,719,29.98,1920,1080,6,160,160,0,398,0,0,5
val,P38,P38_LL,LL,Kishonithan 37 to 41,Kishonithan 37 to 41.zip,P38_LL.MP4,594,594,25.0,1920,1080,5,140,140,0,232,0,0,4
val,P38,P38_LS,LS,Kishonithan 37 to 41,Kishonithan 37 to 41.zip,P38_LS.mp4,747,747,30.01,1080,1920,6,168,168,0,668,0,0,7
val,P38,P38_T,T,Kishonithan 37 to 41,Kishonithan 37 to 41.zip,P38_T.MOV,733,733,29.98,1920,1080,6,164,164,0,371,0,0,6
train,P39,P39_LL,LL,Kishonithan 37 to 41,Kishonithan 37 to 41.zip,P39_LL.MP4,614,614,25.0,1920,1080,5,140,140,0,214,0,0,3
train,P39,P39_LS,LS,Kishonithan 37 to 41,Kishonithan 37 to 41.zip,P39_LS.mp4,747,747,30.01,1080,1920,6,169,169,0,673,0,0,7
train,P39,P39_T,T,Kishonithan 37 to 41,Kishonithan 37 to 41.zip,P39_T.MOV,753,753,29.98,1920,1080,6,168,168,0,375,0,0,6
train,P40,P40_LL,LL,Kishonithan 37 to 41,Kishonithan 37 to 41.zip,P40_LL.MP4,567,567,25.0,1920,1080,5,138,138,0,217,0,0,4
train,P40,P40_LS,LS,Kishonithan 37 to 41,Kishonithan 37 to 41.zip,P40_LS.mp4,814,814,30.01,1080,1920,6,183,183,0,726,0,0,7
train,P40,P40_T,T,Kishonithan 37 to 41,Kishonithan 37 to 41.zip,P40_T.MOV,677,677,29.98,1080,1920,6,156,156,0,351,0,0,6
test,P41,P41_LL,LL,Kishonithan 37 to 41,Kishonithan 37 to 41.zip,P41_LL.MP4,555,555,25.0,1920,1080,5,135,135,0,239,0,0,5
test,P41,P41_LS,LS,Kishonithan 37 to 41,Kishonithan 37 to 41.zip,P41_LS.mp4,630,630,30.01,1080,1920,6,148,148,0,602,0,0,7
test,P41,P41_T,T,Kishonithan 37 to 41,Kishonithan 37 to 41.zip,P41_T.MOV,619,619,29.98,1080,1920,6,144,144,0,339,0,0,6
train,P42,P42_LL,LL,Rashad,Rashad.zip,P42_LL.MP4,516,516,25.0,1920,1080,5,124,124,0,250,0,0,3
train,P42,P42_LS,LS,Rashad,Rashad.zip,P42_LS.mp4,618,618,30.01,1080,1920,6,123,123,0,410,0,0,2
train,P42,P42_T,T,Rashad,Rashad.zip,P42_T.MOV,683,683,29.98,1080,1920,6,135,135,0,298,0,0,3
test,P43,P43_LL,LL,Rashad,Rashad.zip,P43_LL.MP4,528,528,25.0,1920,1080,5,140,140,0,253,0,0,7
test,P43,P43_LS,LS,Rashad,Rashad.zip,P43_LS.mp4,641,641,30.01,1080,1920,6,143,143,0,534,0,0,5
test,P43,P43_T,T,Rashad,Rashad.zip,P43_T.MOV,641,641,29.98,1080,1920,6,136,136,0,245,0,0,4
train,P44,P44_LL,LL,Rashad,Rashad.zip,P44_LL.MP4,533,533,25.0,1920,1080,5,126,126,0,340,0,0,3
train,P44,P44_LS,LS,Rashad,Rashad.zip,P44_LS.mp4,616,616,30.01,1080,1920,6,137,137,0,517,0,0,5
train,P44,P44_T,T,Rashad,Rashad.zip,P44_T.MOV,634,634,29.98,1080,1920,6,136,136,0,235,0,0,4
val,P45,P45_LL,LL,Rashad,Rashad.zip,P45_LL.MP4,536,536,25.0,1920,1080,5,121,121,0,329,0,0,2
val,P45,P45_LS,LS,Rashad,Rashad.zip,P45_LS.mp4,671,671,30.01,1080,1920,6,141,141,0,536,0,0,4
val,P45,P45_T,T,Rashad,Rashad.zip,P45_T.MOV,682,682,29.98,1920,1080,6,149,149,0,388,0,0,4
train,P46,P46_LL,LL,Rashad,Rashad.zip,P46_LL.MP4,590,590,25.0,1920,1080,5,129,129,0,313,0,0,1
train,P46,P46_LS,LS,Rashad,Rashad.zip,P46_LS.mp4,645,645,30.01,1080,1920,6,132,132,0,514,0,0,3
train,P46,P46_T,T,Rashad,Rashad.zip,P46_T.MOV,651,651,29.98,1920,1080,6,136,136,0,284,0,0,4
train,P47,P47_LL,LL,Sharmilan,Sharmilan.zip,P47_LL.MP4,601,601,25.0,1920,1080,5,138,138,0,269,0,0,4
train,P47,P47_LS,LS,Sharmilan,Sharmilan.zip,P47_LS.mp4,720,720,30.01,1080,1920,6,159,159,0,617,0,0,6
train,P47,P47_T,T,Sharmilan,Sharmilan.zip,P47_T.MOV,755,755,29.98,1920,1080,6,160,160,0,258,45,0,5
train,P48,P48_LL,LL,Sharmilan,Sharmilan.zip,P48_LL.MP4,582,582,25.0,1920,1080,5,140,140,0,257,0,0,5
train,P48,P48_LS,LS,Sharmilan,Sharmilan.zip,P48_LS.mp4,589,589,30.01,1080,1920,6,143,143,0,492,0,0,6
train,P48,P48_T,T,Sharmilan,Sharmilan.zip,P48_T.MOV,643,643,29.98,1080,1920,6,150,143,7,254,0,0,6
train,P49,P49_LL,LL,Sharmilan,Sharmilan.zip,P49_LL.MP4,471,471,25.0,1920,1080,5,124,124,0,276,5,0,6
train,P49,P49_LS,LS,Sharmilan,Sharmilan.zip,P49_LS.mp4,567,567,30.01,1080,1920,6,139,139,0,572,52,0,7
train,P49,P49_T,T,Sharmilan,Sharmilan.zip,P49_T.MOV,598,598,29.98,1920,1080,6,143,143,0,247,60,0,6
val,P50,P50_LL,LL,Sharmilan,Sharmilan.zip,P50_LL.MP4,509,509,25.0,1920,1080,5,130,130,0,286,12,0,6
val,P50,P50_LS,LS,Sharmilan,Sharmilan.zip,P50_LS.mp4,582,582,30.01,1080,1920,6,142,142,0,603,0,0,6
val,P50,P50_T,T,Sharmilan,Sharmilan.zip,P50_T.MOV,574,574,29.98,1080,1920,6,143,143,0,263,4,0,6
test,P51,P51_LL,LL,Sharmilan,Sharmilan.zip,P51_LL.MP4,582,582,25.0,1920,1080,5,153,153,0,330,25,0,5
test,P51,P51_LS,LS,Sharmilan,Sharmilan.zip,P51_LS.mp4,733,733,30.01,1080,1920,6,171,171,0,701,0,0,7
test,P51,P51_T,T,Sharmilan,Sharmilan.zip,P51_T.MOV,725,725,29.98,1080,1920,6,166,166,0,312,71,0,6
train,P52,P52_LL,LL,sujeevan,sujeevan.zip,P52_LL.MP4,390,390,25.0,1920,1080,5,108,108,0,219,0,0,7
train,P52,P52_LS,LS,sujeevan,sujeevan.zip,P52_LS.mp4,496,496,30.01,1080,1920,6,128,128,0,525,0,0,7
train,P52,P52_T,T,sujeevan,sujeevan.zip,P52_T.MOV,471,471,29.98,1080,1920,6,122,122,0,276,0,0,6
test,P53,P53_LL,LL,sujeevan,sujeevan.zip,P53_LL.MP4,521,521,25.0,1920,1080,5,126,126,0,211,0,0,5
test,P53,P53_LS,LS,sujeevan,sujeevan.zip,P53_LS.mp4,682,682,30.01,1080,1920,6,164,164,0,653,0,0,7
test,P53,P53_T,T,sujeevan,sujeevan.zip,P53_T.MOV,618,618,29.98,1080,1920,6,141,141,0,294,0,0,5
train,P54,P54_LL,LL,sujeevan,sujeevan.zip,P54_LL.MP4,504,504,25.0,1920,1080,5,116,116,0,185,0,0,2
train,P54,P54_LS,LS,sujeevan,sujeevan.zip,P54_LS.mp4,628,628,30.01,1080,1920,6,140,140,0,537,0,0,5
train,P54,P54_T,T,sujeevan,sujeevan.zip,P54_T.MOV,615,615,29.98,1080,1920,6,135,135,0,226,0,0,5
train,P55,P55_LL,LL,sujeevan,sujeevan.zip,P55_LL.MP4,480,480,25.0,1920,1080,5,124,124,0,210,0,0,6
train,P55,P55_LS,LS,sujeevan,sujeevan.zip,P55_LS.mp4,540,540,30.01,1080,1920,6,136,136,0,545,0,0,7
train,P55,P55_T,T,sujeevan,sujeevan.zip,P55_T.MOV,581,581,29.98,1080,1920,6,137,137,0,243,0,0,5
val,P56,P56_LL,LL,sujeevan,sujeevan.zip,P56_LL.MP4,479,479,25.0,1920,1080,5,113,113,0,177,0,0,3
val,P56,P56_LS,LS,sujeevan,sujeevan.zip,P56_LS.mp4,562,562,30.01,1080,1920,6,143,143,0,572,0,0,7
val,P56,P56_T,T,sujeevan,sujeevan.zip,P56_T.MOV,568,568,29.98,1080,1920,6,129,129,0,217,0,0,5
